,day,cost_phones,cost_cases,cost_accessories,group
0,1,21900,2300,3300,control
1,1,43400,0,0,control
2,1,31500,0,0,control
3,1,31000,0,0,control
4,1,50400,2300,5100,control
5,1,59000,0,0,control
6,1,31200,2200,0,control
7,1,37700,0,2700,control
8,1,20000,1500,0,control
9,1,39200,0,0,control
10,1,75900,0,2300,control
11,1,56500,1800,0,control
12,1,36600,0,3200,control
13,1,44900,0,0,control
14,1,19200,0,3400,control
15,1,41300,0,0,control
16,1,7700,2800,0,control
17,1,42200,2300,0,control
18,1,8900,0,0,control
19,1,75400,0,0,control
20,1,46200,0,0,control
21,1,50500,0,0,control
22,1,39100,0,3100,control
23,1,24900,2200,0,control
24,1,56200,0,0,control
25,1,44300,0,0,control
26,1,44900,0,0,control
27,1,10000,2700,0,control
28,1,4800,0,0,control
29,1,52900,0,0,control
30,1,39900,2200,0,control
31,1,55100,0,0,control
32,1,34200,1700,0,control
33,1,41900,3300,0,control
34,1,35500,0,0,control
35,1,13400,1700,0,control
36,1,51300,2100,1400,control
37,1,32300,1600,0,control
38,1,47300,1700,0,control
39,1,41600,2300,0,control
40,1,70500,0,3600,control
41,1,58100,2700,0,control
42,1,55600,0,0,control
43,1,25000,0,0,control
44,1,13200,0,0,control
45,1,12900,0,0,control
46,1,22000,1300,0,control
47,1,18500,0,1300,control
48,1,15500,0,0,control
49,1,43500,600,0,control
50,1,66900,2000,0,control
51,1,11000,0,0,control
52,1,17000,0,3200,control
53,1,30800,0,3200,control
54,1,70700,0,1600,control
55,1,41300,2400,0,control
56,1,43600,0,0,control
57,1,61600,0,3000,control
58,1,43600,0,5600,control
59,1,19000,0,0,control
60,1,6900,2800,0,control
61,1,43700,0,0,control
62,1,52300,1500,4400,control
63,1,25200,1900,2700,control
64,1,65100,0,0,control
65,1,14000,1900,0,control
66,1,5500,2000,0,control
67,1,53600,0,2800,control
68,1,11800,0,4000,control
69,1,43500,0,0,control
70,1,36500,0,0,control
71,1,17400,0,2900,control
72,1,53200,0,0,control
73,1,24100,0,0,control
74,1,69500,0,0,control
75,1,44000,0,0,control
76,1,34800,0,3500,control
77,1,56000,1900,0,control
78,1,78900,1900,1900,control
79,1,38600,0,1200,control
80,1,58700,0,0,control
81,1,4800,0,0,control
82,1,13900,0,0,control
83,1,33000,2200,0,control
84,1,34300,1600,3800,control
85,1,42500,0,0,control
86,1,36300,2500,3000,control
87,1,33400,0,0,control
88,1,24500,0,2400,control
89,1,22300,3000,0,control
90,1,55900,0,3100,control
91,1,54700,0,3400,control
92,1,28600,2400,0,control
93,1,13800,0,0,control
94,1,45800,0,0,control
95,1,45600,0,0,control
96,1,43400,2300,0,control
97,1,41900,0,0,control
98,1,18500,0,2400,control
99,1,25200,0,0,control
100,1,57500,0,3800,control
101,1,52900,0,0,control
102,1,25900,0,0,control
103,1,21300,0,0,control
104,1,36500,0,0,control
105,1,59500,1700,0,control
106,1,50300,1800,0,control
107,1,48800,2500,0,control
108,1,41100,1100,0,control
109,1,48600,0,0,control
110,1,46300,0,0,control
111,1,63600,1600,3800,control
112,1,69500,0,5900,control
113,1,42400,2500,0,control
114,1,54800,0,2800,control
115,1,30300,0,2700,control
116,1,55700,2000,0,control
117,1,48900,0,0,control
118,1,40400,2500,0,control
119,1,39700,0,0,control
120,1,24000,0,2200,control
121,1,36600,2400,2500,control
122,1,59900,2800,0,control
123,1,48800,1600,0,control
124,1,43400,0,0,control
125,1,49600,0,0,control
126,1,57100,0,0,control
127,1,63100,0,0,control
128,1,40200,0,0,control
129,1,33800,0,0,control
130,1,28600,0,0,control
131,1,63800,0,4500,control
132,1,49100,0,800,control
133,1,40700,1800,4700,control
134,1,15700,3200,0,control
135,1,37900,0,0,control
136,1,22100,2900,0,control
137,1,42100,1900,0,control
138,1,45100,0,0,control
139,1,39100,0,2800,control
140,1,23700,0,0,control
141,1,11200,1800,0,control
142,1,81100,0,0,control
143,1,50800,0,3800,control
144,1,18800,2300,0,control
145,1,52700,2100,0,control
146,1,69800,0,0,control
147,1,32900,1700,0,control
148,1,52000,0,4200,control
149,1,21500,1700,0,control
150,1,71500,0,3000,control
151,1,25500,0,2500,control
152,1,65300,2800,2600,control
153,1,47200,0,2200,control
154,1,18100,0,0,control
155,1,55200,0,0,control
156,1,53600,0,0,control
157,1,31800,0,0,control
158,1,19800,1600,0,control
159,1,58900,0,0,control
160,1,30600,3000,0,control
161,1,27000,0,0,control
162,1,32200,2800,4000,control
163,1,9700,0,1900,control
164,1,51400,0,0,control
165,1,9500,0,0,control
166,1,16700,0,0,control
167,1,18300,0,3700,control
168,1,28900,0,0,control
169,1,36700,2100,0,control
170,1,27700,0,0,control
171,1,49800,0,0,control
172,1,63900,1800,2800,control
173,1,4500,1800,0,control
174,1,25400,0,0,control
175,1,19300,0,0,control
176,1,4900,1700,0,control
177,1,6100,0,4000,control
178,1,13300,1800,0,control
179,1,21200,2300,2300,control
180,1,22900,1800,3000,control
181,1,47200,0,5200,control
182,1,45600,0,0,control
183,1,26700,0,0,control
184,1,13000,0,0,control
185,1,50300,0,0,control
186,1,86000,0,0,control
187,1,60400,0,0,control
188,1,61900,1000,1800,control
189,1,33500,0,0,control
190,1,40500,1600,0,control
191,1,30400,0,0,control
192,1,53100,1800,0,control
193,1,55200,1600,0,control
194,1,41800,900,0,control
195,1,64200,800,0,control
196,1,29000,0,0,control
197,1,37800,0,0,control
198,1,41600,2000,4300,control
199,1,35700,0,0,control
200,1,44500,2900,0,control
201,1,36500,0,0,control
202,1,11500,0,3700,control
203,1,38000,0,1300,control
204,1,12200,0,3500,control
205,1,42800,0,0,control
206,1,64900,0,3000,control
207,1,26000,0,4400,control
208,1,27900,2000,3800,control
209,1,37300,2500,2900,control
210,1,28100,1900,0,control
211,1,80300,900,0,control
212,1,42500,3200,0,control
213,1,12700,0,0,control
214,1,50300,2000,0,control
215,1,43100,0,0,control
216,1,27200,2700,0,control
217,1,31900,0,3500,control
218,1,14000,3100,0,control
219,1,79100,1400,0,control
220,1,31100,0,3400,control
221,1,41600,0,0,control
222,1,44800,0,0,control
223,1,51200,0,0,control
224,2,24800,0,0,control
225,2,24300,1200,2900,control
226,2,18700,2100,0,control
227,2,70900,0,0,control
228,2,32100,2300,0,control
229,2,59900,0,0,control
230,2,12300,0,0,control
231,2,49700,0,0,control
232,2,58500,2000,0,control
233,2,19600,1100,0,control
234,2,25000,0,0,control
235,2,9000,0,4100,control
236,2,38800,3000,2900,control
237,2,32300,1700,0,control
238,2,57300,0,4200,control
239,2,9100,900,1700,control
240,2,55500,0,0,control
241,2,35200,0,1700,control
242,2,28500,0,0,control
243,2,33500,0,0,control
244,2,22000,0,0,control
245,2,9900,3600,0,control
246,2,23800,2400,0,control
247,2,25900,2900,0,control
248,2,29700,0,0,control
249,2,38000,0,0,control
250,2,62100,0,0,control
251,2,57900,2600,0,control
252,2,20200,0,0,control
253,2,9300,0,0,control
254,2,18200,0,0,control
255,2,56400,0,0,control
256,2,28200,2400,0,control
257,2,66400,2100,0,control
258,2,5800,2400,0,control
259,2,20500,0,0,control
260,2,25500,0,0,control
261,2,9600,0,0,control
262,2,50300,2300,0,control
263,2,63600,2300,0,control
264,2,70900,3400,1400,control
265,2,60600,2900,1900,control
266,2,50000,2300,0,control
267,2,39200,1900,1600,control
268,2,62000,0,3000,control
269,2,27800,2600,2300,control
270,2,32800,2300,0,control
271,2,26100,2700,0,control
272,2,29100,2000,0,control
273,2,43600,1500,0,control
274,2,22700,2300,900,control
275,2,52700,2100,1900,control
276,2,32300,1900,0,control
277,2,51200,0,2700,control
278,2,17500,0,0,control
279,2,30600,2800,0,control
280,2,43300,0,0,control
281,2,73700,0,0,control
282,2,48300,1000,0,control
283,2,53500,0,3500,control
284,2,34600,0,0,control
285,2,20300,0,0,control
286,2,13200,1900,3800,control
287,2,24000,2600,0,control
288,2,22600,1400,0,control
289,2,22200,0,0,control
290,2,43000,0,0,control
291,2,39300,1500,0,control
292,2,9400,0,0,control
293,2,37600,0,0,control
294,2,51600,0,5000,control
295,2,81000,0,0,control
296,2,7300,2400,0,control
297,2,41700,0,0,control
298,2,69400,0,0,control
299,2,41200,0,0,control
300,2,51900,0,0,control
301,2,42400,2600,0,control
302,2,25600,0,0,control
303,2,27900,0,0,control
304,2,39300,1700,0,control
305,2,21500,2400,0,control
306,2,61200,0,0,control
307,2,73500,2300,0,control
308,2,26800,0,2800,control
309,2,21400,0,0,control
310,2,65100,0,0,control
311,2,28600,0,0,control
312,2,35600,0,2300,control
313,2,27700,0,3100,control
314,2,41100,1800,0,control
315,2,66600,0,0,control
316,2,18300,0,0,control
317,2,61600,0,0,control
318,2,61900,0,0,control
319,2,66200,0,1400,control
320,2,15900,0,0,control
321,2,31900,0,0,control
322,2,47600,2100,0,control
323,2,31800,2300,4100,control
324,2,26800,0,0,control
325,2,47300,0,0,control
326,2,40900,0,0,control
327,2,65600,0,0,control
328,2,33700,0,0,control
329,2,14200,2800,2500,control
330,2,45200,2200,0,control
331,2,27900,0,0,control
332,2,16000,0,0,control
333,2,17800,0,3600,control
334,2,52100,1900,0,control
335,2,21200,0,0,control
336,2,22700,0,3900,control
337,2,27200,3100,0,control
338,2,25300,500,0,control
339,2,46900,0,0,control
340,2,55100,3000,3000,control
341,2,69400,2200,0,control
342,2,19700,0,0,control
343,2,70600,2200,0,control
344,2,51000,0,4100,control
345,2,37600,0,0,control
346,2,42900,1800,0,control
347,2,31900,2000,0,control
348,2,48400,0,0,control
349,2,8100,2300,0,control
350,2,29300,0,0,control
351,2,27400,0,0,control
352,2,17400,0,0,control
353,2,50100,0,0,control
354,2,46500,0,0,control
355,2,28300,0,0,control
356,2,34700,0,2100,control
357,2,31700,0,0,control
358,2,50500,0,0,control
359,2,16100,2600,0,control
360,2,50400,0,0,control
361,2,33600,2400,0,control
362,2,68000,0,0,control
363,2,15300,0,0,control
364,2,30600,0,0,control
365,2,59000,2600,3600,control
366,2,36300,0,0,control
367,2,4100,0,0,control
368,2,50200,0,0,control
369,2,33900,0,0,control
370,2,25100,3100,0,control
371,2,45100,2400,0,control
372,2,43900,2900,2500,control
373,2,28900,2200,0,control
374,2,35500,2700,3600,control
375,2,20900,0,3700,control
376,2,14800,0,0,control
377,2,23200,2600,0,control
378,2,58500,1000,0,control
379,2,30400,0,0,control
380,2,45300,0,3800,control
381,2,58400,0,0,control
382,2,76700,2400,0,control
383,2,49900,0,0,control
384,2,35400,0,2200,control
385,2,44800,0,0,control
386,2,40100,2500,0,control
387,2,38100,2700,0,control
388,2,26500,1900,0,control
389,2,100800,0,0,control
390,2,38700,2900,0,control
391,2,29700,1500,2900,control
392,2,32300,2200,0,control
393,2,76900,0,2100,control
394,2,38400,0,4700,control
395,2,50600,0,0,control
396,2,52200,1800,0,control
397,2,15700,0,0,control
398,2,15700,0,3400,control
399,2,24000,0,0,control
400,2,44700,0,0,control
401,2,32800,0,0,control
402,2,40400,2200,0,control
403,2,39300,1700,0,control
404,2,59000,0,0,control
405,2,44800,0,0,control
406,2,36300,1500,2600,control
407,2,62400,0,0,control
408,2,46300,0,0,control
409,2,62000,1800,4600,control
410,2,12600,2000,3300,control
411,2,50400,0,0,control
412,2,36200,0,0,control
413,2,17300,2300,0,control
414,2,69400,2000,0,control
415,2,28800,1900,0,control
416,2,22600,2800,1900,control
