sale_first_week,game_time,game_days,bin_one,bin_two
0.0,77,4,1,2
55.973030391619616,107,4,1,2
0.0,103,4,0,3
0.0,36,4,0,2
0.0,69,5,0,2
97.92119199734172,58,4,0,2
0.0,111,5,0,0
0.0,73,3,1,2
0.0,16,5,1,2
278.94393572164773,31,2,1,0
0.0,17,2,0,0
0.0,43,3,1,2
0.0,65,3,1,0
160.66265338511926,119,3,0,2
0.0,95,3,0,1
0.0,61,5,1,2
69.55882441268221,110,2,1,3
0.0,73,3,0,1
64.23161034561217,100,3,1,2
22.887584443722247,49,3,0,1
163.5064277422827,79,4,1,0
131.93938468416465,123,3,0,1
0.0,92,6,0,1
0.0,59,4,0,1
0.0,46,6,0,2
233.15192930204265,102,4,1,2
193.98818039042044,87,4,1,1
83.56118640712093,65,4,0,2
121.17152819670684,53,4,1,0
0.0,123,2,1,3
0.0,140,5,1,1
146.04717067305663,35,7,0,2
0.0,105,3,1,1
79.26907733494596,74,5,0,2
168.79462371896352,81,3,1,2
0.0,59,6,1,2
28.241789566390423,79,3,0,1
0.0,53,7,0,1
0.0,95,2,1,2
0.0,42,3,0,0
0.0,17,6,0,1
239.03227821622173,31,5,0,1
0.0,77,3,0,0
208.7048203781843,89,5,0,2
0.0,69,5,1,2
217.3055085231395,43,5,1,1
0.0,91,4,0,1
217.74701144415025,48,5,1,3
0.0,15,3,1,1
173.38926053030653,48,3,0,3
0.0,50,5,1,1
0.0,24,5,1,1
0.0,92,6,1,1
0.0,47,7,1,1
0.0,79,6,0,1
0.0,95,5,1,1
0.0,102,5,0,1
28.102297076247268,102,4,0,0
64.03662022257538,30,6,1,2
0.0,63,5,0,0
0.0,74,6,1,3
41.38290025138966,55,4,0,1
0.0,89,3,1,2
0.0,2,4,1,1
80.52005625262655,45,2,0,3
0.0,17,4,0,1
191.42026275118508,50,6,1,0
83.68521201375529,49,5,0,2
0.0,76,7,0,3
144.0336203950173,42,6,1,1
97.55669434175013,97,4,1,1
0.0,21,3,0,0
0.0,110,5,1,2
89.54502003113092,73,6,0,2
0.0,102,4,1,2
207.4074147067942,129,5,0,1
0.0,4,4,1,3
0.0,115,3,1,1
113.0468471217418,94,4,0,2
0.0,75,4,1,2
133.67162880459668,122,2,1,1
0.0,72,5,1,2
193.72186816326706,87,4,0,2
145.99039475156627,129,6,1,3
0.0,39,5,1,2
197.32583991988446,56,6,0,2
144.69954205295693,69,5,0,0
0.0,41,4,0,1
148.37952958057966,74,3,1,2
222.57260146279572,110,5,0,1
0.0,134,3,0,2
92.5975309480871,24,3,1,1
111.46424160469924,71,2,0,1
0.0,82,6,1,1
143.04842646653304,92,6,1,2
178.67602958718598,108,7,1,1
0.0,67,6,1,1
0.0,34,6,1,2
214.5580389560402,96,5,1,1
220.67699441465953,68,5,1,1
154.33769681860704,48,6,1,0
29.253547500552514,70,5,0,3
0.0,102,4,0,1
214.99992661202543,54,4,1,1
48.68812268864201,93,5,0,1
0.0,22,4,1,1
0.0,27,5,1,1
122.8611193821759,18,7,0,2
89.51556997043181,108,4,1,1
28.950525634161153,76,4,1,2
0.0,66,2,1,1
203.3445022092265,116,5,1,1
129.10994281389003,74,6,1,0
0.0,86,4,0,1
278.16074278900703,61,5,1,2
0.0,62,5,0,2
203.95398389687531,89,4,0,1
0.0,39,3,0,0
0.0,59,2,1,2
0.0,89,7,1,3
163.9724423455662,97,4,0,3
154.6849998429429,78,5,0,2
12.36469105238045,71,5,1,2
148.06336730304082,95,6,1,3
0.0,32,4,1,2
0.0,55,4,1,1
146.1378702754458,91,6,0,2
27.882617664831315,4,3,1,0
0.0,116,5,1,2
192.56683714449434,86,4,0,2
0.0,47,3,0,1
124.13251467462078,89,6,0,2
145.7499925596995,89,5,1,1
122.10702910087372,77,3,0,1
150.95492355282917,3,5,0,3
167.53792833723867,58,2,0,2
177.141515125361,82,5,1,1
0.0,90,4,0,1
0.0,49,5,1,3
76.79382902671124,44,1,0,2
239.57774229762117,58,5,1,3
0.0,20,3,0,3
0.0,119,3,0,2
146.70482219829026,47,3,0,1
173.65957166826308,73,4,0,2
164.46995253589404,82,4,0,0
155.92898119978946,132,3,1,2
112.63292841646877,59,3,1,1
0.0,15,2,0,1
0.0,63,5,1,2
162.94092436994399,49,6,0,1
228.04622977447428,94,5,1,2
267.4266837685969,83,4,1,2
158.88003541618167,98,5,0,1
0.0,84,4,1,0
0.0,101,3,0,1
91.51051682067312,62,4,1,1
24.268765100787576,64,5,1,1
115.82483594342723,24,6,1,2
0.0,79,3,1,2
118.43094821344712,74,5,0,2
0.0,59,4,0,1
129.61831805425328,45,6,1,1
0.0,5,2,0,2
96.14452617426352,68,4,0,3
0.0,45,3,1,0
90.07946168053772,62,4,1,2
208.39452534999702,101,3,1,3
0.0,47,5,1,2
0.0,53,4,0,2
0.0,77,3,1,3
226.92885299833927,93,3,0,1
0.0,42,2,0,2
0.0,57,6,0,0
182.11612918284507,56,3,0,2
0.0,61,5,1,1
0.0,48,3,1,2
0.0,45,5,1,1
0.0,65,5,0,2
0.0,57,2,1,1
0.0,138,4,0,0
0.0,109,5,0,0
0.0,106,3,0,2
212.69898281542703,46,5,1,3
0.0,112,5,0,2
250.18551839194657,30,6,1,2
0.0,106,5,1,1
34.00245885493949,51,4,1,3
76.12961761322208,37,3,1,1
0.0,91,4,1,2
130.71679264582704,59,6,1,0
91.39302869527161,42,5,0,1
143.85189660024017,64,4,1,1
25.000658387326112,48,4,0,1
117.61776268472735,22,4,0,2
148.94870424804978,60,5,1,1
196.3760616649571,54,4,1,1
141.6496813619148,40,5,1,1
0.0,69,5,0,2
152.76820851503774,88,4,0,2
90.30533330515371,69,3,1,1
0.0,114,5,1,2
0.0,70,5,0,1
0.0,77,4,1,2
0.0,62,5,1,2
106.36804521617799,62,3,0,3
0.0,73,4,0,1
178.26416725067818,102,5,1,1
133.49301121008628,47,6,1,2
157.03405035604328,69,5,0,2
179.33699487328528,67,3,1,2
214.41522659256412,72,5,1,1
0.0,32,3,0,2
193.55303458387954,34,4,0,1
155.4159858597315,46,2,0,1
169.55731553001715,44,4,0,2
188.86301125253564,90,4,1,2
0.0,74,2,0,2
0.0,97,5,0,3
0.0,117,2,0,2
139.33547188072575,124,7,0,2
0.0,66,4,1,1
118.49216463578078,6,4,1,1
71.80293436704675,127,5,1,2
184.13684244772958,39,2,1,1
145.94665666251774,54,6,1,0
0.0,43,6,0,2
0.0,60,4,0,1
195.77164363525154,87,2,1,1
41.74168227043721,75,5,0,2
251.31727330427628,100,7,1,2
0.0,65,5,1,1
0.0,54,3,0,1
0.0,75,4,1,2
0.0,77,4,1,3
0.0,98,3,0,2
0.0,78,5,1,3
15.462507025516231,38,5,1,1
0.0,115,6,0,3
184.77615951160212,55,5,0,2
195.09641360896165,68,4,1,1
104.79327359439417,61,6,1,1
94.01974037671323,38,4,1,2
93.24839183016246,72,6,0,1
23.716444812361885,60,4,1,2
0.0,86,4,0,2
113.62117531683398,78,4,0,3
93.50714039737264,98,5,0,3
0.0,79,4,0,2
95.5043497814602,30,5,0,3
0.0,96,7,1,0
0.0,118,6,0,2
264.1256681002158,72,2,0,1
151.4893049754913,38,5,0,0
172.27629314711538,75,5,1,1
0.0,32,5,0,0
198.59047245378545,98,6,1,2
0.0,1,3,0,1
142.4614062015793,29,5,1,3
162.69738365221124,55,4,1,3
163.88561400251734,89,5,1,0
0.0,110,2,0,2
246.3824697438866,64,6,0,0
20.015122248254613,102,4,1,1
102.49156259861203,65,3,1,1
106.39929290511732,124,4,0,1
209.591160811598,15,6,0,2
159.82732776016886,53,3,1,1
206.8336559846956,120,5,1,1
133.75939335732394,74,4,0,3
179.2008959433684,66,6,0,2
111.40886379536363,46,5,0,1
86.11758428341702,88,6,0,1
213.3195926014127,48,3,1,2
0.0,58,4,0,0
0.0,94,4,1,0
160.50344766998694,36,6,1,3
104.70913504907648,67,3,0,0
0.0,81,4,0,2
157.6941181998983,100,2,0,3
137.05361226219367,58,4,1,1
0.0,21,5,0,3
110.76602352974902,58,2,0,0
124.16814869325674,78,4,1,1
0.0,55,4,1,2
271.6648485520641,73,6,0,1
154.19603985185708,86,4,1,3
0.0,132,5,1,0
84.76459650336398,94,3,0,3
0.0,86,5,0,1
0.0,70,2,1,2
207.3809572412502,32,6,0,2
191.48546594559545,68,2,1,2
126.80110262191906,120,4,1,0
0.0,124,5,1,3
153.08145964547745,27,4,0,2
174.34863965030888,31,5,1,1
0.0,67,3,0,1
0.0,55,5,0,3
171.0286447234957,78,6,1,0
148.07226418434118,36,2,0,2
0.0,127,4,0,2
0.0,52,6,1,1
0.0,66,3,1,0
11.752167225361163,92,3,1,1
159.80689841002038,39,5,1,1
151.09690513271303,66,5,1,1
108.24134080681581,62,7,0,1
142.17631214346042,60,3,1,1
0.0,57,5,1,2
255.1473432571893,66,4,0,1
182.99774265941636,113,3,1,2
167.32281937574493,103,4,0,1
