sale_first_week,game_time,game_days,bin_one,bin_two
47.06094220979895,108,5,0,3
165.45525053710801,64,6,1,2
113.92258272272773,88,7,0,3
0.0,73,5,0,3
222.31493120845153,45,5,1,3
72.26253636677993,127,3,0,1
238.48973490797653,131,4,0,2
121.80458701839541,80,5,0,3
176.77742140142607,107,6,0,2
192.98700961289785,128,4,0,3
126.2635486973164,35,5,0,1
61.9048194172846,127,2,0,3
163.1571214469179,104,3,0,1
0.0,40,6,0,3
0.0,95,6,0,3
174.8480686682363,64,5,0,2
0.0,102,5,0,3
224.51866926668723,132,4,1,1
210.92366861470663,136,4,0,1
195.49356612728135,123,3,1,1
0.0,129,6,1,2
162.6728266769872,91,3,0,2
0.0,61,4,1,3
0.0,52,3,0,2
188.55149890298583,104,4,0,3
0.0,122,7,0,2
174.85521784858764,102,5,1,2
155.9371733613313,45,5,0,3
121.40828765329803,50,4,0,1
0.0,117,5,1,1
214.46099944250346,68,6,0,1
125.44158619171355,61,3,1,3
0.0,31,6,0,1
90.95123226567765,71,2,0,1
183.62749913433836,144,2,0,3
0.0,56,7,1,3
0.0,107,5,0,1
203.26979319630132,70,2,1,1
68.5547453593513,101,4,0,1
0.0,52,4,0,3
147.02900892473184,98,6,0,3
0.0,75,3,1,3
0.0,142,4,0,3
0.0,37,2,0,3
0.0,55,7,1,1
0.0,67,6,0,3
59.28808578842168,41,5,0,1
182.5277959324801,84,3,0,2
0.0,79,4,0,3
171.38764792796718,106,5,1,1
130.66847540934745,116,4,1,0
185.5122280170093,72,4,0,3
0.0,26,6,1,3
96.11305051643048,39,6,1,2
179.4941172947109,58,4,0,1
0.0,51,3,1,3
96.88321725796791,43,5,0,3
0.0,48,5,0,2
198.77038625769603,70,4,0,2
0.0,67,1,1,1
0.0,104,3,1,2
116.16280651896909,60,6,1,1
189.770911101439,64,6,1,1
75.48428184381333,69,4,0,2
104.04889739404427,59,6,1,2
29.257670479250336,83,5,0,2
162.03412907320393,39,4,1,3
172.76433443539358,51,5,0,2
120.56186254963613,34,4,1,2
0.0,76,5,0,3
170.92843337499875,114,3,1,3
154.97717203343802,87,6,1,1
115.7653486064684,96,4,1,3
141.3483147818301,95,6,0,3
109.04370114888872,24,6,0,1
0.0,50,4,1,3
0.0,68,4,0,0
0.0,100,6,0,3
0.0,55,5,0,3
85.82014090284443,45,2,0,2
135.6551051770455,60,7,0,3
206.0452945311128,116,5,0,2
140.9796713457361,99,5,0,1
206.3869973903461,80,5,0,3
124.27624223392164,65,5,0,2
0.0,63,6,0,2
67.21565000919578,98,7,1,2
0.0,90,3,0,2
0.0,64,4,0,3
0.0,27,6,0,1
106.83416422467404,58,4,1,2
214.12290778342071,51,6,0,1
0.0,49,5,1,2
0.0,99,3,0,3
108.11437720812145,72,4,1,3
64.24694876140934,70,5,0,3
0.0,28,7,0,3
140.5283875996903,85,6,0,3
0.0,49,3,0,3
0.0,24,4,0,3
0.0,91,4,0,0
0.0,71,4,0,3
239.66419884708193,108,5,0,2
162.15996909194106,52,4,0,1
166.79856886977697,36,2,1,2
213.59242864132108,88,2,0,2
0.0,84,4,0,2
83.01744096620122,115,4,1,3
216.63829653049785,91,5,0,1
0.0,84,4,0,2
217.63625861583978,65,4,1,2
192.83898345137553,72,2,1,2
0.0,62,5,0,1
222.09528313639038,96,4,0,2
0.0,60,2,0,3
176.85939362594303,60,7,1,1
0.0,68,5,0,2
64.70519199595503,57,6,0,3
177.28906537634893,96,5,0,3
0.0,105,5,0,3
0.0,123,4,0,1
182.24900937175738,60,6,1,2
71.60361753618258,84,4,0,1
109.45253692565768,117,4,0,3
162.55485819513308,125,5,1,3
0.0,4,4,0,2
226.69559999171634,62,6,1,2
0.0,79,5,0,3
83.66068223360807,81,4,0,2
0.0,48,4,0,3
0.0,102,3,0,3
0.0,58,3,0,2
141.71810861205907,96,3,0,3
185.15410146092492,28,5,1,3
0.0,123,3,0,3
29.585773848539574,76,4,1,3
0.0,57,5,0,1
163.83237934401097,49,4,0,1
280.22147918304586,100,4,0,1
0.0,106,7,0,3
119.12518645288283,117,7,0,2
208.92813455059783,94,5,1,2
167.9152603654292,79,5,0,2
200.5077905360522,32,2,1,2
60.50002016657898,66,6,0,2
0.0,86,6,0,3
0.0,37,5,0,2
0.0,76,5,0,2
115.19535788073907,74,4,1,3
0.0,69,6,0,3
0.0,128,5,0,2
95.00758557619599,82,4,0,2
0.0,84,6,0,1
163.317587179008,130,1,0,2
197.32332539661104,119,4,1,2
28.343174946909556,76,4,1,3
110.12435121348221,104,3,1,1
28.267798355532733,57,4,0,2
14.237441406492792,59,6,1,1
0.0,82,3,0,2
179.40076513871125,77,1,1,2
0.0,80,5,0,2
0.0,48,3,0,1
0.0,75,3,0,2
136.2307815890358,67,5,0,2
0.0,81,5,1,3
64.92915900038702,81,4,1,3
77.89245870274678,67,5,0,1
117.29217286282807,69,5,1,3
0.0,47,5,0,3
0.0,94,7,0,2
95.69629532999204,88,7,0,2
209.17600453302185,11,2,1,2
140.20198138098797,91,5,1,1
0.0,113,3,0,2
223.79866040593038,70,7,0,2
0.0,82,3,0,2
0.0,60,3,0,3
131.1804136445077,73,4,0,1
0.0,123,4,0,2
144.55823707353824,50,3,0,2
0.0,54,5,0,2
167.00430326688732,96,5,0,1
175.9930682076049,75,6,1,3
107.73417206693784,91,6,1,3
0.0,85,6,1,2
108.61464470865978,23,6,0,3
0.0,85,5,0,1
0.0,110,5,0,1
0.0,72,2,1,0
0.0,57,3,1,1
228.73332430956324,97,3,0,3
159.46001910244644,13,5,0,3
0.0,75,5,1,2
0.0,91,5,1,1
206.27202399397567,63,3,1,3
243.39100709530348,61,5,0,3
0.0,75,5,1,2
0.0,95,5,1,0
0.0,63,4,1,3
0.0,66,7,0,2
0.0,89,2,1,2
70.78798887885213,67,5,1,0
0.0,66,4,0,3
107.69046749704034,31,4,0,3
0.0,99,3,0,3
210.45816759881325,66,6,0,2
0.0,129,4,1,1
93.47846450595415,63,4,0,3
231.2409376839637,100,4,0,3
131.6321624303742,58,4,1,3
210.31785132535038,95,4,0,3
0.0,126,2,0,3
69.26376675609461,44,4,1,3
211.77886003699342,82,7,1,2
179.26687297308376,87,4,0,1
0.0,69,4,0,3
247.99682380510183,70,5,0,2
159.62948267790614,103,5,0,2
0.0,100,4,0,3
136.4181708717036,92,5,1,3
232.45850367360447,11,4,1,3
124.57351708469537,136,6,1,2
142.8365048416902,26,4,0,2
0.0,70,5,0,2
0.0,86,4,1,1
54.00089622016337,107,5,0,2
0.0,88,3,1,3
0.0,96,7,0,2
0.0,64,4,1,3
54.46156660862789,124,2,1,2
0.0,81,6,1,1
83.08196406928525,36,4,1,3
0.0,50,5,0,2
117.26492631504343,47,6,1,1
0.0,54,4,0,2
202.76958043785515,50,3,1,3
39.14044935696579,90,5,0,2
170.51560781539564,35,6,0,3
185.83722834038866,62,6,0,2
166.4746401850063,115,6,0,3
111.94406002189058,61,6,1,2
0.0,100,6,0,2
211.55687268660984,105,5,1,3
202.7858632880065,63,2,0,3
0.0,80,4,1,2
0.0,130,4,1,3
0.0,104,6,1,1
0.0,113,4,0,2
101.34658743005743,90,5,0,2
0.0,15,5,1,1
0.0,80,5,0,2
0.0,70,5,0,2
0.0,79,4,0,2
162.37420050530972,79,5,0,2
195.69405923465393,55,3,1,3
72.40576431392459,60,3,0,2
130.58305413828828,99,5,1,3
0.0,89,4,0,2
0.0,91,6,1,3
150.07734041980413,100,4,0,3
0.0,97,5,0,2
0.0,105,7,0,3
137.90575181049678,115,3,0,2
0.0,101,4,0,2
111.61117410289178,105,3,0,2
174.71302694133277,62,4,1,2
0.0,114,5,1,2
0.0,34,6,0,2
0.0,122,6,0,1
0.0,89,4,1,3
0.0,81,5,0,2
207.28377971908606,82,2,0,2
172.44805535768546,67,3,1,2
0.0,106,3,0,1
259.5329904372433,99,6,0,3
71.31973022680216,87,4,1,3
34.69145344226706,124,4,1,2
112.54193774932835,89,5,1,3
157.16251538020882,94,7,1,1
129.38631465109947,93,3,0,2
0.0,23,6,0,3
181.3995194102519,102,3,0,2
23.113384074297258,88,4,0,1
0.0,23,3,0,1
0.0,136,5,0,1
95.65367034492627,104,3,1,3
0.0,47,3,0,2
0.0,88,5,0,2
101.8302874722443,92,4,1,2
0.0,87,6,0,2
0.0,102,5,1,1
147.45843008361146,58,3,0,2
167.73543029348917,102,5,0,1
0.0,148,7,1,1
0.0,71,4,1,0
152.27579806168382,145,5,0,2
0.0,60,4,0,2
345.7492992380789,79,4,0,1
35.76293119316057,39,6,1,3
170.4590193749981,67,1,0,2
0.0,66,5,0,2
114.40441391378981,77,5,0,2
125.41513133328526,64,4,0,1
0.0,30,5,0,2
104.48969897465403,34,4,0,2
0.0,60,5,0,3
0.0,63,6,0,3
176.3071326232917,40,6,0,3
189.43112604426506,43,7,1,3
89.77619953723101,56,4,0,0
0.0,111,5,0,2
223.6809198844152,105,6,0,2
135.87125848036806,116,4,1,3
242.6152953625669,58,4,1,2
86.99643585323813,50,5,0,3
0.0,70,6,0,2
74.51115859931568,104,4,0,0
53.302265720199514,82,4,1,3
0.0,83,3,1,3
162.5027910413969,76,4,1,2
116.4105006962866,73,4,0,1
244.93749729506953,102,4,0,2
0.0,45,6,0,2
0.0,50,5,0,2
0.0,83,6,0,2
0.0,95,4,1,0
0.0,103,2,1,2
141.94801671143708,132,5,0,3
0.0,51,6,0,1
34.19544637550898,123,6,1,1
0.0,81,4,1,2
19.514354158267707,104,6,0,2
0.0,130,4,1,2
0.0,62,5,1,2
0.0,115,4,1,2
153.25611566281714,57,5,0,2
63.510241734639266,39,3,1,2
0.0,108,4,0,1
96.87304945120617,60,4,1,1
0.0,58,6,1,2
233.32340570528305,77,5,0,3
0.0,68,5,1,3
121.27378045117406,120,4,0,3
0.0,80,6,1,2
0.0,42,6,0,2
0.0,40,3,0,3
0.0,87,4,0,2
0.0,131,5,1,2
0.0,97,4,0,2
119.90471418950713,58,3,0,3
0.0,127,5,0,1
0.0,50,3,1,2
145.11388987805464,136,4,0,2
0.0,90,5,0,2
110.43335982342509,91,4,1,1
0.0,114,5,0,3
0.0,70,5,0,2
140.8655763329396,43,3,0,1
189.6835350095694,63,4,0,0
0.0,63,6,0,3
0.0,72,5,0,2
167.84400774450685,92,5,1,3
0.0,91,5,0,1
0.0,116,5,0,3
38.8712658934229,83,5,0,2
37.83028454583007,71,3,0,3
88.39913088447358,113,3,0,2
106.57059477883541,162,4,0,3
208.01791888852648,61,6,0,2
0.0,124,3,0,3
99.8997317523361,65,7,0,2
0.0,111,6,0,3
105.17926408802455,38,4,0,2
0.0,109,3,0,3
268.8212999873089,85,2,0,1
0.0,119,5,0,2
0.0,74,5,0,0
0.0,50,5,1,2
0.0,27,3,0,3
222.74135592870718,139,4,0,3
0.0,43,5,0,2
188.2318479835568,45,4,0,2
64.46571544425287,63,4,1,3
0.0,76,3,0,2
0.0,94,4,1,2
146.22610965200116,81,3,0,2
224.28882334830473,82,6,0,1
190.77584725170112,50,4,1,2
0.0,70,3,0,2
132.50457213805797,42,4,1,3
126.55100275465236,76,5,1,3
100.03668967989549,52,4,0,3
58.70423346558243,100,5,1,2
35.393394459687144,44,6,0,1
0.0,67,3,1,3
144.15712748405446,95,4,0,3
157.4331066871605,64,4,0,3
0.0,75,3,1,2
0.0,74,3,0,2
0.0,81,3,1,3
0.0,155,6,1,3
0.0,81,4,0,1
0.0,168,4,0,2
0.0,64,4,0,2
0.0,104,6,0,1
170.0779060905508,91,5,0,2
0.0,94,6,0,2
0.0,92,3,1,2
0.0,85,7,1,2
183.6915393425832,72,5,1,3
0.0,18,4,0,3
87.74064164595387,114,4,0,2
189.72346033661287,50,6,0,2
147.28779118147145,78,5,0,2
0.0,18,5,0,3
0.0,85,6,0,3
147.65226769715113,73,4,0,2
112.99742606060337,67,6,0,3
0.0,55,6,0,2
134.4742037053609,77,6,0,2
140.12424867313294,109,3,1,2
0.0,58,5,0,2
0.0,36,6,1,3
214.62803871729423,98,5,0,2
77.59123392551423,17,6,0,0
0.0,109,4,1,2
172.5106722578604,140,3,0,2
114.8664460106049,56,3,1,3
137.75531033711553,99,4,1,3
149.0384933343646,53,4,0,3
132.55698475960367,42,4,0,2
224.3327054640086,111,5,0,3
0.0,26,6,0,2
0.0,62,3,0,3
218.26205461797014,82,6,0,1
102.8086467956054,56,5,1,2
99.1918079066987,27,5,0,2
0.0,104,6,0,3
40.49069264219388,46,5,0,3
0.0,111,5,1,2
179.3403508891276,80,5,0,0
148.66734543330085,61,5,1,3
69.09483531243377,93,3,0,1
0.0,60,4,0,2
172.60244163937938,77,6,0,1
108.81815935387952,59,3,1,3
163.29659424214728,53,5,0,2
36.99477854308215,124,5,0,2
0.0,78,4,1,2
127.7293141667321,92,4,0,2
0.0,145,4,1,0
217.85754401178724,130,4,0,2
125.5556040341782,72,4,0,2
0.0,97,2,0,1
0.0,123,5,0,3
221.95902368506626,94,4,0,1
26.480255836326506,113,4,1,3
0.0,127,5,0,2
0.0,116,6,1,1
156.0225452732242,67,6,0,2
0.0,78,5,0,2
66.74727345897631,88,5,0,1
66.84343699408595,77,4,0,2
0.0,41,4,0,2
106.68955506504992,147,3,0,0
0.0,102,3,0,2
172.6804400745529,114,6,0,2
124.64542288104758,10,5,1,2
256.5276886072525,79,6,1,2
0.0,84,3,0,3
0.0,77,5,0,2
83.50245139229156,88,1,0,1
0.0,58,4,1,2
175.84542999006044,136,5,0,2
0.0,101,3,1,1
160.4436179359527,67,4,0,2
0.0,62,7,0,1
155.042748851192,89,2,1,1
167.95310355646654,36,3,0,2
158.83057795246376,79,4,0,1
0.0,86,5,0,3
91.05245287435257,50,3,1,1
185.7943736405797,53,4,0,3
172.00677632366867,77,7,1,1
180.16905561186255,47,4,0,3
0.0,139,5,1,3
0.0,113,3,0,2
127.21813627025378,112,7,1,3
0.0,63,6,1,3
87.58233599591331,60,4,0,2
208.54998885562054,105,4,0,2
223.1738988985879,81,3,0,2
0.0,79,6,0,3
62.68332933710937,95,4,1,3
169.66311689442347,107,5,0,3
26.030876663696304,98,5,0,3
181.9300924645234,94,5,1,2
0.0,60,5,0,3
205.09211023796473,69,3,0,1
149.31582344724353,85,3,0,3
38.23354120593572,71,2,0,3
0.0,115,3,0,3
0.0,104,5,0,3
0.0,27,5,0,3
89.22687506169268,95,4,0,2
0.0,91,5,1,1
114.7534170132725,39,5,0,2
94.02432229127753,64,3,1,1
0.0,41,6,0,3
104.967646713344,144,5,0,2
0.0,77,5,1,1
0.0,53,5,0,3
172.63174462855253,126,5,0,3
0.0,92,6,1,3
142.19934638591434,91,4,1,3
90.95301605242824,73,6,0,3
102.27724131485589,30,5,0,3
0.0,37,4,0,2
110.14190497762871,41,5,1,1
0.0,108,6,1,3
0.0,29,5,0,1
105.57032172273821,100,5,0,2
0.0,32,5,1,3
140.01232584899597,51,4,1,0
0.0,82,4,0,2
129.0602927862484,43,2,0,1
0.0,100,5,0,1
101.36816759649486,110,6,0,1
109.97979782620473,64,4,1,0
182.65007550797327,119,3,1,0
0.0,38,6,0,1
186.4470891192017,38,4,1,2
0.0,111,5,0,2
185.75122755760756,79,4,1,3
0.0,64,4,0,2
0.0,55,3,1,2
0.0,102,6,1,2
72.10147639891161,51,2,0,2
215.50926738901182,40,5,0,1
0.0,81,5,0,3
0.0,56,6,1,3
140.30027785931614,45,6,1,1
0.0,28,3,0,2
117.9414718507291,50,4,0,2
0.0,109,6,0,3
152.31580322249104,107,4,0,2
91.56689017291346,105,3,1,2
38.780452445746576,105,6,0,3
105.25257023528833,86,5,0,3
199.96315823892377,18,6,1,2
30.341164609277797,55,5,0,1
0.0,75,5,1,2
0.0,122,5,1,1
0.0,89,5,0,1
0.0,78,4,1,3
128.7958606202288,54,6,1,3
165.8978505679915,102,5,0,2
0.0,57,4,1,2
0.0,64,4,0,3
94.10815638803945,42,4,1,2
0.0,101,6,1,2
108.63176496999385,106,5,1,3
205.5294448420588,116,3,1,2
0.0,116,6,0,3
84.35492571523628,42,4,1,1
88.68561229353332,22,5,0,2
0.0,77,2,1,1
0.0,119,5,1,1
0.0,120,5,0,3
173.6175134306821,113,5,0,2
0.0,109,7,0,2
158.77606082453028,53,5,0,2
131.06987576072285,90,5,1,3
134.99198191128,87,4,1,2
0.0,32,6,0,2
0.0,85,6,1,2
130.83134327281195,55,5,1,3
0.0,28,3,1,2
0.0,19,6,1,3
132.2829317935376,39,5,1,3
170.11620914390596,15,6,0,2
0.0,75,4,0,3
0.0,105,5,0,2
0.0,145,4,0,3
177.01821082811477,61,6,0,3
170.27551194704782,113,3,0,2
0.0,106,5,0,2
164.86079989658242,115,5,0,2
104.82078558459618,104,3,1,2
0.0,122,6,0,2
60.577497628867775,40,6,1,2
0.0,101,3,0,3
0.0,89,5,1,2
129.91988831304815,20,4,1,2
172.08042804293265,70,6,0,3
111.70928207478252,42,6,0,3
0.0,86,7,0,3
202.581377180287,95,4,0,3
154.94567792718698,81,6,1,1
148.20787777530143,95,5,1,2
0.0,41,5,0,3
90.4972360412539,47,5,1,1
0.0,65,5,1,1
88.1035301772379,81,3,0,3
125.40569874629247,81,6,0,3
72.77691898354945,89,5,0,2
0.0,89,7,0,2
171.75744387006478,93,4,0,2
0.0,91,5,1,1
0.0,50,5,0,2
61.31363424959339,85,7,0,1
143.53199083811464,48,5,0,2
0.0,76,6,0,3
208.4289738899369,93,4,1,1
162.83084979955535,70,5,0,3
149.0211874106107,65,5,0,1
0.0,112,6,0,2
131.65032613774733,24,2,0,2
0.0,66,6,0,2
0.0,112,5,1,2
0.0,65,4,0,3
173.43979359504917,68,6,0,2
121.56625957567367,77,3,0,2
33.002311671410936,94,3,1,1
100.39916681142162,48,5,0,3
106.5541937125181,68,4,0,1
68.97654981472114,95,4,0,2
0.0,82,3,1,2
100.32780954007762,80,6,0,1
0.0,112,3,1,2
93.27102059057776,99,4,0,3
20.34421777393527,126,3,0,1
0.0,48,4,0,3
0.0,56,5,1,1
171.9385861580293,136,5,0,2
0.0,102,2,1,2
62.21862298022579,66,5,0,3
0.0,47,4,1,3
0.0,55,4,0,3
0.0,55,4,1,2
192.56375662898506,101,3,0,3
139.37494975458569,43,4,1,1
0.0,84,3,1,2
0.0,88,4,0,2
0.0,102,6,0,1
0.0,116,4,0,1
88.35665747003382,106,4,0,3
154.1096546199218,85,4,1,3
190.5446858941295,61,3,0,3
209.98335092864215,53,4,0,3
11.018557302379449,80,1,0,2
91.46505572713744,115,3,0,2
0.0,70,5,0,1
126.70296114520234,87,3,0,1
0.0,31,4,0,3
0.0,78,3,0,2
0.0,45,6,0,3
139.52819078867194,47,4,0,2
202.13334369829622,52,1,0,1
0.0,73,2,0,3
